1500,0
1575,1
1650,0
1725,1
1800,0
1875,1
1950,0
2025,1
2100,0
2175,1
2250,0
2325,1
2400,0
2475,1
2550,0
2625,1
2700,0
2775,1
2850,0
2925,1
3000,0
3075,1
3150,0
3225,1
3300,0
3375,1
3450,0
3525,1
3600,0
3675,1
3750,0
3825,1
3900,0
3975,1
4050,0
4125,1
4200,0
4275,1
4350,0
4425,1
4500,0
4575,1
4650,0
4725,1
4800,0
4875,1
4950,0
5025,1
5100,0
5175,1
5250,0
5325,1
5400,0
5475,1
5550,0
5625,1
5700,0
5775,1
5850,0
5925,1
6000,0
6075,1
6150,0
6225,1
6300,0
6375,1
6450,0
6525,1
6600,0
6675,1
6750,0
6825,1
6900,0
6975,1
7050,0
7125,1
7200,0
7275,1
7350,0
7425,1
7500,0
7575,1
7650,0
7725,1
7800,0
7875,1
7950,0
8025,1
8100,0
8175,1
8250,0
8325,1
8400,0
8475,1
8550,0
8625,1
8700,0
8775,1
8850,0
8925,1
9000,0
9075,1
9150,0
9225,1
9300,0
9375,1
9450,0
9525,1
9600,0
9675,1
9750,0
9825,1
9900,0
9975,1
10050,0
10125,1
10200,0
10275,1
10350,0
10425,1
10500,0
10575,1
10650,0
10725,1
10800,0
10875,1
10950,0
11025,1
11100,0
11175,1
11250,0
11325,1
11400,0
11475,1
11550,0
11625,1
11700,0
11775,1
11850,0
11925,1
12000,0
12075,1
12150,0
12225,1
12300,0
12375,1
12450,0
12525,1
12600,0
12675,1
12750,0
12825,1
12900,0
12975,1
13050,0
13125,1
13200,0
13275,1
13350,0
13425,1
13500,0
13575,1
13650,0
13725,1
13800,0
13875,1
13950,0
14025,1
14100,0
14175,1
14250,0
14325,1
14400,0
14475,1
14550,0
14625,1
14700,0
14775,1
14850,0
14925,1
15000,0
15075,1
15150,0
15225,1
15300,0
15375,1
15450,0
15525,1
15600,0
15675,1
15750,0
15825,1
15900,0
15975,1
16050,0
16125,1
16200,0
16275,1
16350,0
16425,1
16500,0
16575,1
